Recipe,UnlockType,TipoRequisito,KeyRequerida
100BuildingsPack_GimlisMap_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Gunmetal
100BuildingsPack_GraniteBarrier45_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
100BuildingsPack_GraniteWall45_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
100BuildingsPack_GuardStatue_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
100BuildingsPack_HangingIronLantern_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
100BuildingsPack_TelcharForge_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
AnimalDecoPack_BearRug_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModBearHide
AnimalDecoPack_DecoBear_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModBearHide
AnimalDecoPack_DecoBear_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModBearHide
AnimalDecoPack_DecoBear_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModBearHide
AnimalDecoPack_DecoBoar_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModPigScales
AnimalDecoPack_DecoBoar_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModPigScales
AnimalDecoPack_DecoBoar_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModPigScales
AnimalDecoPack_DecoDeer_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModDeerAntlers
AnimalDecoPack_DecoDeer_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModDeerAntlers
AnimalDecoPack_DecoDeer_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModDeerAntlers
AnimalDecoPack_DecoMoth_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModMothWings
AnimalDecoPack_DecoMoth_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModMothWings
AnimalDecoPack_DecoMoth_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModMothWings
AnimalDecoPack_DecoWolf_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModWolfPelt
AnimalDecoPack_DecoWolf_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModWolfPelt
AnimalDecoPack_DecoWolf_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.ModWolfPelt
AradrenPack_ColumnBase_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
AradrenPack_ColumnCapital_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
AradrenPack_ColumnShaft_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
AradrenPack_DecorativeBarrier_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Gunmetal
AradrenPack_Ladder_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Steel
AradrenPack_Ladder_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Steel
AradrenPack_MediumGraniteColumnBase_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Gunmetal
AradrenPack_MediumGraniteColumnCapital_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Starmetal
AradrenPack_MediumGraniteColumnShaft_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Starmetal
AradrenPack_RopeBarrier_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Steel
AradrenPack_RopeBarrier_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Steel
AradrenPack_RopeBarrier_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Steel
AxbeardBannerPack_Banner_A,EMorRecipeUnlockType::DiscoverDependencies,Construcción,CraftingStation_FabricStation
AxbeardBannerPack_Banner_B,EMorRecipeUnlockType::DiscoverDependencies,Construcción,CraftingStation_FabricStation
AxbeardBannerPack_Flag_A,EMorRecipeUnlockType::DiscoverDependencies,Construcción,CraftingStation_FabricStation
AxbeardBannerPack_Guardpoint_A,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Guard_Point
CeibaPack_Beam_1M_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Beam_1M_B,EMorRecipeUnlockType::Manual,,
CeibaPack_Beam_3M_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Beam_3M_B,EMorRecipeUnlockType::Manual,,
CeibaPack_Beam_6M_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Beam_6M_B,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnLarge_Base_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnLarge_Capital_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnLarge_Shaft_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnMedRound_Base_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnMedRound_Capital_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnMedRound_Shaft_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnMed_Capital_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnMed_Shaft_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnSmall_Base_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnSmall_Capital_A,EMorRecipeUnlockType::Manual,,
CeibaPack_ColumnSmall_Shaft_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Columnmed_Base_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_1X1M_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_1X1M_B,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_1X1M_C,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_1X4M_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_1X4M_B,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_1X4M_C,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X1M_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X1M_B,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X1M_C,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X4M_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X4M_B,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X4M_C,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X4M_Window_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X4M_Window_B,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_3X4M_Window_C,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_Arch_3X4_A,EMorRecipeUnlockType::Manual,,
CeibaPack_Wall_Door_3X4M_A,EMorRecipeUnlockType::Manual,,
CurvedPack_CurvedBarrier_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
CurvedPack_CurvedBarrier_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
CurvedPack_CurvedBarrier_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
CurvedPack_CurvedStairs_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
CurvedPack_CurvedStairs_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
CurvedPack_CurvedWall_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
CurvedPack_CurvedWall_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
CurvedPack_CurvedWall_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Restoration_Hammer_Tobi
DoorsPack_AdornedDoor_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
DrainPumpPack_Pillar_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
DrainPumpPack_Wall_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
DrainPumpPack_Wall_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
DrainPumpPack_Wall_C,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
DrainPumpPack_Wall_D,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
DrainPumpPack_Wall_E,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
DrainPumpPack_Window_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Granite
DwarvenTraditionsPack_EreborThrone,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Marble
DwarvenTraditionsPack_MoriaThrone,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Marble
GlitteringCavesLampsPack_Pink_Ceiling_A,EMorRecipeUnlockType::Manual,,
GlitteringCavesLampsPack_Pink_Lighting_A,EMorRecipeUnlockType::Manual,,
GlitteringCavesLampsPack_Pink_Street_A,EMorRecipeUnlockType::Manual,,
GlitteringCavesLampsPack_Pink_Wall_A,EMorRecipeUnlockType::Manual,,
GlitteringCavesLampsPack_Red_Ceiling_A,EMorRecipeUnlockType::Manual,,
GlitteringCavesLampsPack_Red_Lighting_A,EMorRecipeUnlockType::Manual,,
