Recipe,UnlockType,TipoRequisito,KeyRequerida
EntPack_EntSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,EntPack_Everspring
EntPack_EntSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,EntPack_Everspring
EntPack_EntSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,EntPack_Everspring
EntPack_EntSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,EntPack_Everspring
RohanPack_RohanSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,RohanPack_Deco_Banner_A
RohanPack_RohanSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,RohanPack_Deco_Banner_A
RohanPack_RohanSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,RohanPack_Deco_Banner_A
RohanPack_RohanSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,RohanPack_Deco_Banner_A
OrcHunterPack_OrcHunterSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,OrcHunter_OrcTrophy_A
OrcHunterPack_OrcHunterSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,OrcHunter_OrcTrophy_A
OrcHunterPack_OrcHunterSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,OrcHunter_OrcTrophy_A
OrcHunterPack_OrcHunterSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,OrcHunter_OrcTrophy_A
LordOfMoria_LordOfMoriaSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_HelmetArmor
LordOfMoria_LordOfMoriaSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_GlovesArmor
LordOfMoria_LordOfMoriaSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_TorsoArmor
LordOfMoria_LordOfMoriaSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_BootsArmor
LordOfMoria_LordOfMoriaSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_HelmetArmor
LordOfMoria_LordOfMoriaSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_GlovesArmor
LordOfMoria_LordOfMoriaSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_TorsoArmor
LordOfMoria_LordOfMoriaSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_BootsArmor
